"name","source","truth","error"
"Optimal growth temp.","Methanomethylovorans hollandica",35.5,5.57916666666669
"Optimal growth temp.","Methanococcus aeolicus",46,5.47666666666667
"Optimal growth temp.","Methanoregula formicica",31.5,5.38400000000003
"Optimal growth temp.","Methanobacterium kanagiense",40,4.7765
"Optimal growth temp.","Methanothermococcus okinawensis",62.5,4.75999999999998
"Optimal growth temp.","Methermicoccus shengliensis",65,4.6005
"Optimal growth temp.","Methanolacinia paynteri",40,4.55249999999999
"Optimal growth temp.","Methanoculleus sediminis",37,4.54633333333334
"Optimal growth temp.","Methanosarcina siciliae",40,4.36983333333332
"Optimal growth temp.","Methanolobus taylorii",33,4.29033333333334
"Optimal growth temp.","Methanocella conradii",52.5,4.26333333333332
"Optimal growth temp.","Methanoculleus bourgensis",37,4.19
"Optimal growth temp.","Methanospirillum hungatei",41,3.80249999999998
"Optimal growth temp.","Methanotorris igneus",88,3.77633333333334
"Optimal growth temp.","Methanolobus bombayensis",37,3.22766666666668
"Optimal growth temp.","Methanococcoides methylutens",32.5,3.20600000000002
"Optimal growth temp.","Methanocorpusculum labreanum",37,2.85
"Optimal growth temp.","Methanobacterium ferruginis",40,2.80083333333334
"Optimal growth temp.","Methanobacterium petrolearium",35,2.75333333333333
"Optimal growth temp.","Methanosarcina horonobensis",37,2.64616666666666
"Optimal growth temp.","Methanoregula boonei",36,2.48933333333333
"Optimal growth temp.","Methanohalophilus levihalophilus",35,1.89966666666667
"Optimal growth temp.","Methanobacterium beijingense",37,1.70916666666666
"Optimal growth temp.","Methanohalophilus portucalensis",40,1.59999999999999
"Optimal growth temp.","Methanobacterium movens",36.5,1.26566666666666
"Optimal growth temp.","Methanothermobacter crinale",65,1.16633333333336
"Optimal growth temp.","Methanothermococcus thermolithotrophicus",65,0.978999999999985
"Optimal growth temp.","Methanolinea mesophila",37,0.858999999999995
"Optimal growth temp.","Methanocaldococcus infernus",85,0.425333333333356
"Optimal growth temp.","Methanobacterium flexile",36.5,0.418500000000002
"Optimal growth temp.","Methanobacterium bryantii",38,0.398166666666668
"Optimal growth temp.","Methanofollis ethanolicus",37,0.243833333333328
"Optimal growth temp.","Methanocaldococcus fervens",85,0.232666666666688
"Optimal growth temp.","Methanosarcina spelaei",33,0.167999999999999
"Optimal growth temp.","Methanocaldococcus jannaschii",85,0.0918333333333266
"Optimal growth temp.","Methanocorpusculum aggregans",35,0.0735000000000028
"Growth doubling time [h]","Methanosarcina soligelidi",122.4,108.511402666667
"Growth doubling time [h]","Methanolinea tarda",98,70.475754
"Growth doubling time [h]","Methanofollis ethanolicus",72,52.8159593333333
"Growth doubling time [h]","Methanosarcina horonobensis",4.95,49.6869953333333
"Growth doubling time [h]","Methanocorpusculum labreanum",9.2,27.905528
"Growth doubling time [h]","Methermicoccus shengliensis",5,20.032622
"Growth doubling time [h]","Methanohalophilus portucalensis",5,18.6980193333333
"Growth doubling time [h]","Methanoculleus thermophilus",2.5,18.58956
"Growth doubling time [h]","Methanopyrus kandleri",0.33,18.4865533333333
"Growth doubling time [h]","Methanoculleus sediminis",0,15.5402026666667
"Growth doubling time [h]","Methanobacterium veterum",23.1,14.3874553333333
"Growth doubling time [h]","Methanocella arvoryzae",8,14.030998
"Growth doubling time [h]","Methanocella conradii",6.3,13.9302106666667
"Growth doubling time [h]","Methanolacinia paynteri",4.8,13.3258613333333
"Growth doubling time [h]","Methanococcoides methylutens",5.2,12.484372
"Growth doubling time [h]","Methanocaldococcus fervens",0.33,11.8167773333333
"Growth doubling time [h]","Methanothermococcus okinawensis",0.5,8.31837266666666
"Growth doubling time [h]","Methanoculleus horonobensis",6.93,8.21693266666667
"Growth doubling time [h]","Methanococcus maripaludis",2,7.85809133333333
"Growth doubling time [h]","Methanobacterium lacus",22,7.66262666666668
"Growth doubling time [h]","Methanoregula formicica",16.6,6.38316333333335
"Growth doubling time [h]","Methanoregula boonei",44,5.86986666666666
"Growth doubling time [h]","Methanomethylovorans hollandica",11.5,5.445306
"Growth doubling time [h]","Methanothermococcus thermolithotrophicus",0.917,4.648306
"Growth doubling time [h]","Methanocaldococcus infernus",0.513,4.641874
"Growth doubling time [h]","Methanolobus vulcani",5.33,4.62701866666666
"Growth doubling time [h]","Methanolobus profundi",5,3.89297933333333
"Growth doubling time [h]","Methanotorris igneus",0.417,3.39243
"Growth doubling time [h]","Methanococcus aeolicus",1.38,2.99017666666666
"Growth doubling time [h]","Methanoculleus bourgensis",18,2.66424866666667
"Growth doubling time [h]","Methanocaldococcus vulcanius",0.66,2.16810133333334
"Growth doubling time [h]","Methanolobus psychrophilus",15.873,1.87574533333334
"Growth doubling time [h]","Methanocaldococcus jannaschii",0.433,0.706652666666666
"Optimal growth NaCl","Methanohalophilus portucalensis",1.25,1.02060675958476
"Optimal growth NaCl","Methanobacterium veterum",0.05,0.328159681691429
"Optimal growth NaCl","Methanobacterium lacus",0.1,0.274963587214286
"Optimal growth NaCl","Methanothermococcus thermolithotrophicus",0.684463,0.248405999552381
"Optimal growth NaCl","Methermicoccus shengliensis",0.4,0.244602762078095
"Optimal growth NaCl","Methanomethylovorans hollandica",0.04,0.243925620738095
"Optimal growth NaCl","Methanococcus aeolicus",0.3,0.220021625778095
"Optimal growth NaCl","Methanotorris igneus",0.308008,0.206198526470476
"Optimal growth NaCl","Methanolobus vulcani",0.5,0.188407882382857
"Optimal growth NaCl","Methanocella conradii",0,0.176614274691429
"Optimal growth NaCl","Methanoregula formicica",0,0.16202159152
"Optimal growth NaCl","Methanopyrus kandleri",0.34,0.155995816588571
"Optimal growth NaCl","Methanocorpusculum labreanum",0,0.150864929864762
"Optimal growth NaCl","Methanococcus maripaludis",0.5,0.144644976972381
"Optimal growth NaCl","Methanofollis ethanolicus",0,0.131484352026667
"Optimal growth NaCl","Methanosarcina soligelidi",0.02,0.125556389828572
"Optimal growth NaCl","Methanolinea tarda",0,0.125095105934286
"Optimal growth NaCl","Methanoculleus thermophilus",0.2,0.11730843335619
"Optimal growth NaCl","Methanocella arvoryzae",0,0.104376264925714
"Optimal growth NaCl","Methanolacinia paynteri",0.15,0.0914839980495238
"Optimal growth NaCl","Methanococcoides methylutens",0.44,0.081130491692381
"Optimal growth NaCl","Methanoregula boonei",0,0.0737428505733334
"Optimal growth NaCl","Methanothermococcus okinawensis",0.5989045,0.0625763455790481
"Optimal growth NaCl","Methanocaldococcus infernus",0.427789,0.0606875893419048
"Optimal growth NaCl","Methanoculleus sediminis",0.17,0.0578758517447619
"Optimal growth NaCl","Methanolobus psychrophilus",0.225,0.0439450659209525
"Optimal growth NaCl","Methanocaldococcus vulcanius",0.427789,0.0416044473095236
"Optimal growth NaCl","Methanosarcina horonobensis",0.1,0.0315792518933334
"Optimal growth NaCl","Methanoculleus horonobensis",0.15,0.030217178887619
"Optimal growth NaCl","Methanoculleus bourgensis",0.0855578,0.0124029506666667
"Optimal growth NaCl","Methanolobus profundi",0.35,0.00884229438571416
"Optimal growth NaCl","Methanocaldococcus jannaschii",0.5,0.00775427836666653
"Optimal growth NaCl","Methanocaldococcus fervens",0.513347,0.00320124153333323
