"name","source","truth","estimated","error","relative_error"
"Growth doubling time [h]","Methanoculleus thermophilus",2.5,21.08956,18.58956,7.435824
"Growth doubling time [h]","Methanopyrus kandleri",0.33,18.8165533333333,18.4865533333333,56.0198585858586
"Growth doubling time [h]","Methanoculleus sediminis",0,15.5402026666667,15.5402026666667,Inf
"Growth doubling time [h]","Methanobacterium veterum",23.1,8.71254466666666,14.3874553333333,0.622833564213564
"Growth doubling time [h]","Methanocella arvoryzae",8,22.030998,14.030998,1.75387475
"Growth doubling time [h]","Methanocella conradii",6.3,20.2302106666667,13.9302106666667,2.21114455026455
"Growth doubling time [h]","Methanolacinia paynteri",4.8,18.1258613333333,13.3258613333333,2.77622111111111
"Growth doubling time [h]","Methanococcoides methylutens",5.2,17.684372,12.484372,2.40084076923077
"Growth doubling time [h]","Methanocaldococcus fervens",0.33,12.1467773333333,11.8167773333333,35.8084161616162
"Growth doubling time [h]","Methanothermococcus okinawensis",0.5,8.81837266666666,8.31837266666666,16.6367453333333
"Growth doubling time [h]","Methanoculleus horonobensis",6.93,15.1469326666667,8.21693266666667,1.18570456950457
"Growth doubling time [h]","Methanococcus maripaludis",2,9.85809133333333,7.85809133333333,3.92904566666666
"Growth doubling time [h]","Methanobacterium lacus",22,14.3373733333333,7.66262666666668,0.348301212121213
"Growth doubling time [h]","Methanoregula formicica",16.6,22.9831633333333,6.38316333333335,0.384527911646587
"Growth doubling time [h]","Methanoregula boonei",44,38.1301333333333,5.86986666666666,0.13340606060606
"Growth doubling time [h]","Methanomethylovorans hollandica",11.5,16.945306,5.445306,0.473504869565218
"Growth doubling time [h]","Methanothermococcus thermolithotrophicus",0.917,5.565306,4.648306,5.06903598691385
"Growth doubling time [h]","Methanocaldococcus infernus",0.513,5.154874,4.641874,9.0484873294347
"Growth doubling time [h]","Methanolobus vulcani",5.33,9.95701866666666,4.62701866666666,0.868108567854909
"Growth doubling time [h]","Methanolobus profundi",5,8.89297933333333,3.89297933333333,0.778595866666666
"Growth doubling time [h]","Methanotorris igneus",0.417,3.80943,3.39243,8.13532374100719
"Growth doubling time [h]","Methanococcus aeolicus",1.38,4.37017666666666,2.99017666666666,2.16679468599034
"Growth doubling time [h]","Methanoculleus bourgensis",18,20.6642486666667,2.66424866666667,0.148013814814815
"Growth doubling time [h]","Methanocaldococcus vulcanius",0.66,2.82810133333334,2.16810133333334,3.28500202020202
"Growth doubling time [h]","Methanolobus psychrophilus",15.873,17.7487453333333,1.87574533333334,0.118172074172075
"Growth doubling time [h]","Methanocaldococcus jannaschii",0.433,1.13965266666667,0.706652666666666,1.63199230177059
"Optimal growth NaCl","Methanohalophilus portucalensis",1.25,0.229393240415238,1.02060675958476,0.81648540766781
"Optimal growth NaCl","Methanobacterium veterum",0.05,0.378159681691429,0.328159681691429,6.56319363382857
"Optimal growth NaCl","Methanobacterium lacus",0.1,0.374963587214286,0.274963587214286,2.74963587214286
"Optimal growth NaCl","Methanothermococcus thermolithotrophicus",0.684463,0.436057000447619,0.248405999552381,0.362921004572023
"Optimal growth NaCl","Methermicoccus shengliensis",0.4,0.155397237921905,0.244602762078095,0.611506905195238
"Optimal growth NaCl","Methanomethylovorans hollandica",0.04,0.283925620738095,0.243925620738095,6.09814051845238
"Optimal growth NaCl","Methanococcus aeolicus",0.3,0.520021625778095,0.220021625778095,0.733405419260318
"Optimal growth NaCl","Methanotorris igneus",0.308008,0.514206526470476,0.206198526470476,0.669458346765267
"Optimal growth NaCl","Methanolobus vulcani",0.5,0.311592117617143,0.188407882382857,0.376815764765714
"Optimal growth NaCl","Methanocella conradii",0,0.176614274691429,0.176614274691429,Inf
"Optimal growth NaCl","Methanoregula formicica",0,0.16202159152,0.16202159152,Inf
"Optimal growth NaCl","Methanopyrus kandleri",0.34,0.184004183411429,0.155995816588571,0.458811225260504
"Optimal growth NaCl","Methanocorpusculum labreanum",0,0.150864929864762,0.150864929864762,Inf
"Optimal growth NaCl","Methanococcus maripaludis",0.5,0.355355023027619,0.144644976972381,0.289289953944762
"Optimal growth NaCl","Methanofollis ethanolicus",0,0.131484352026667,0.131484352026667,Inf
"Optimal growth NaCl","Methanosarcina soligelidi",0.02,0.145556389828572,0.125556389828572,6.27781949142858
"Optimal growth NaCl","Methanolinea tarda",0,0.125095105934286,0.125095105934286,Inf
"Optimal growth NaCl","Methanoculleus thermophilus",0.2,0.0826915666438095,0.11730843335619,0.586542166780953
"Optimal growth NaCl","Methanocella arvoryzae",0,0.104376264925714,0.104376264925714,Inf
"Optimal growth NaCl","Methanolacinia paynteri",0.15,0.241483998049524,0.0914839980495238,0.609893320330158
"Optimal growth NaCl","Methanococcoides methylutens",0.44,0.358869508307619,0.081130491692381,0.184387481119048
"Optimal growth NaCl","Methanoregula boonei",0,0.0737428505733334,0.0737428505733334,Inf
"Optimal growth NaCl","Methanothermococcus okinawensis",0.5989045,0.536328154420952,0.0625763455790481,0.104484680911645
"Optimal growth NaCl","Methanocaldococcus infernus",0.427789,0.488476589341905,0.0606875893419048,0.141863370357594
"Optimal growth NaCl","Methanoculleus sediminis",0.17,0.112124148255238,0.0578758517447619,0.340446186733893
"Optimal growth NaCl","Methanolobus psychrophilus",0.225,0.268945065920953,0.0439450659209525,0.195311404093122
"Optimal growth NaCl","Methanocaldococcus vulcanius",0.427789,0.469393447309524,0.0416044473095236,0.0972545982003362
"Optimal growth NaCl","Methanosarcina horonobensis",0.1,0.131579251893333,0.0315792518933334,0.315792518933334
"Optimal growth NaCl","Methanoculleus horonobensis",0.15,0.119782821112381,0.030217178887619,0.201447859250793
"Optimal growth NaCl","Methanoculleus bourgensis",0.0855578,0.0979607506666667,0.0124029506666667,0.14496575024915
"Optimal growth NaCl","Methanolobus profundi",0.35,0.358842294385714,0.00884229438571416,0.0252636982448976
"Optimal growth NaCl","Methanocaldococcus jannaschii",0.5,0.492245721633333,0.00775427836666653,0.0155085567333331
"Optimal growth NaCl","Methanocaldococcus fervens",0.513347,0.510145758466667,0.00320124153333323,0.00623601878131796
